fecha,jornada,local,visitante,goles_local,goles_visitante,liga,entrenador_local,pais_entrenador_local,entrenador_visitante,pais_entrenador_visitante
19-10-2022,20,Atlético Nacional,La Equidad,,,betplay_dimayor,Hernán Herrera,Colombia,Alexis García,Colombia
19-10-2022,20,Atlético Bucaramanga,Deportivo Pereira,,,betplay_dimayor,Armando Osma,Colombia,Alejandro Restrepo,Colombia
19-10-2022,20,Cortuluá,Rionegro Águilas Doradas,,,betplay_dimayor,César Torres,Colombia,Leonel Álvarez,Colombia
19-10-2022,20,Deportivo Cali,Patriotas FC,,,betplay_dimayor,Mayer Candelo,Colombia,Arturo Boyacá,Colombia
19-10-2022,20,Envigado FC,Deportes Tolima,,,betplay_dimayor,Alberto Suárez,Colombia,Hernán Torres,Colombia
19-10-2022,20,Jaguares de Córdoba,Atlético Junior,,,betplay_dimayor,Grigori Méndez,Colombia,Juan Real,Argentina
19-10-2022,20,Deportivo Pasto,Independiente Medellín,,,betplay_dimayor,Flabio Torres,Colombia,David González,Colombia
19-10-2022,20,Alianza Petrolera,Millonarios,,,betplay_dimayor,Hubert Bodhert,Colombia,Alberto Gamero,Colombia
19-10-2022,20,Santa Fe,Once Caldas,,,betplay_dimayor,Alfredo Arias,Uruguay,Diego Corredor,Colombia
19-10-2022,20,Unión Magdalena,América de Cali,,,betplay_dimayor,Claudio Rodríguez,Argentina,Alexandre Guimarães,Costa Rica
16-10-2022,19,Rionegro Águilas Doradas,Envigado FC,,,betplay_dimayor,Leonel Álvarez,Colombia,Alberto Suárez,Colombia
16-10-2022,19,América de Cali,Deportivo Pasto,,,betplay_dimayor,Alexandre Guimarães,Costa Rica,Flabio Torres,Colombia
16-10-2022,19,Independiente Medellín,Jaguares de Córdoba,,,betplay_dimayor,David González,Colombia,Grigori Méndez,Colombia
16-10-2022,19,Atlético Junior,Cortuluá,,,betplay_dimayor,Juan Real,Argentina,César Torres,Colombia
16-10-2022,19,La Equidad,Unión Magdalena,,,betplay_dimayor,Alexis García,Colombia,Claudio Rodríguez,Argentina
16-10-2022,19,Once Caldas,Alianza Petrolera,,,betplay_dimayor,Diego Corredor,Colombia,Hubert Bodhert,Colombia
