jornada,fecha,puntos_actuales,equipo,liga,entrenador_nuevo,promedio_goles_hechos_antes_de_cambio_entrenador_1_5,promedio_goles_hechos_despues_de_cambio_entrenador_1_5,promedio_goles_recibidos_antes_de_cambio_entrenador_1_5,promedio_goles_recibidos_despues_de_cambio_entrenador_1_5,puntos_hechos_antes_de_cambio_entrenador_1_5,puntos_hechos_despues_de_cambio_entrenador_1_5,porcentaje_victorias_despues_de_cambio_entrenador_1_5,porcentaje_victorias_antes_de_cambio_entrenador_1_5,porcentaje_empates_despues_de_cambio_entrenador_1_5,porcentaje_empates_antes_de_cambio_entrenador_1_5,porcentaje_derrotas_despues_de_cambio_entrenador_1_5,porcentaje_derrotas_antes_de_cambio_entrenador_1_5
1,03-02-2008,0,Once Caldas,betplay_dimayor,Jorge Bernal,1.6,1.2,0.8,1.4,8,6,0.4,0.4,0.0,0.4,0.6,0.2
1,08-02-2009,3,Once Caldas,betplay_dimayor,Javier Álvarez,0.8,1.2,0.2,1.4,10,5,0.2,0.6,0.4,0.2,0.4,0.2
1,31-01-2010,0,Once Caldas,betplay_dimayor,Juan Carlos Osorio,1.8,2.0,2.4,2.0,3,5,0.2,0.0,0.4,0.6,0.4,0.4
1,29-01-2012,1,Once Caldas,betplay_dimayor,Luis Páez,2.4,1.0,1.2,1.4,9,3,0.0,0.6,0.6,0.0,0.4,0.4
1,29-07-2012,3,Once Caldas,betplay_dimayor,Guillermo Hoyos,1.4,1.8,1.8,1.2,3,9,0.6,0.0,0.0,0.6,0.4,0.4
1,02-02-2013,0,Once Caldas,betplay_dimayor,Santiago Escobar,0.6,1.2,1.6,1.0,3,8,0.4,0.2,0.4,0.0,0.2,0.8
1,25-01-2014,3,Once Caldas,betplay_dimayor,Flabio Torres,1.6,1.6,0.4,0.8,9,11,0.6,0.6,0.4,0.0,0.0,0.4
3,02-04-2015,0,Once Caldas,betplay_dimayor,Francisco Córtes,0.4,1.0,1.6,2.0,1,0,0.0,0.0,0.0,0.2,1.0,0.8
4,16-02-2015,3,Once Caldas,betplay_dimayor,Flabio Torres,0.6,1.8,2.0,1.4,0,9,0.4,0.0,0.6,0.0,0.0,1.0
13,06-04-2015,15,Once Caldas,betplay_dimayor,Francisco Córtes,1.4,1.4,1.4,1.6,6,5,0.2,0.2,0.4,0.6,0.4,0.2
1,12-07-2015,1,Once Caldas,betplay_dimayor,Javier Torrente,2.0,0.6,2.0,1.2,7,3,0.0,0.4,0.6,0.2,0.4,0.4
12,14-09-2016,15,Once Caldas,betplay_dimayor,Hernán Lisi,1.2,1.4,1.4,0.6,4,10,0.6,0.2,0.2,0.2,0.2,0.6
15,30-04-2017,13,Once Caldas,betplay_dimayor,Herney Duque,0.4,1.2,2.2,1.2,1,7,0.4,0.0,0.2,0.2,0.4,0.8
1,09-07-2017,0,Once Caldas,betplay_dimayor,Francisco Maturana,1.4,0.8,1.2,1.0,8,5,0.2,0.4,0.4,0.4,0.4,0.2
1,04-02-2018,3,Once Caldas,betplay_dimayor,Hubert Bodhert,0.8,1.6,1.4,0.4,4,12,0.8,0.2,0.0,0.2,0.2,0.6
1,18-01-2021,1,Once Caldas,betplay_dimayor,Eduardo Lara,1.6,1.6,1.4,1.6,8,5,0.2,0.4,0.4,0.4,0.4,0.2
1,23-01-2022,1,Once Caldas,betplay_dimayor,Diego Corredor,1.0,1.4,1.0,0.8,8,11,0.6,0.4,0.4,0.4,0.0,0.2
1,06-02-2011,0,Santa Fe,betplay_dimayor,Néstor Otero,1.4,0.4,0.8,1.2,8,2,0.0,0.4,0.4,0.4,0.6,0.2
1,28-08-2011,3,Santa Fe,betplay_dimayor,Arturo Boyacá,1.2,1.4,1.0,1.0,8,8,0.4,0.4,0.4,0.4,0.2,0.2
7,13-10-2011,8,Santa Fe,betplay_dimayor,Wilson Gutiérrez,1.0,1.4,1.4,1.6,5,7,0.4,0.2,0.2,0.4,0.4,0.4
1,04-09-2014,0,Santa Fe,betplay_dimayor,Gustavo Costas,1.8,1.0,1.6,1.0,8,7,0.4,0.4,0.2,0.4,0.4,0.2
1,13-07-2015,3,Santa Fe,betplay_dimayor,Gerardo Pelusso,0.8,2.2,1.2,0.2,4,11,0.6,0.2,0.4,0.2,0.0,0.6
4,24-03-2016,8,Santa Fe,betplay_dimayor,Alexis García,0.4,3.0,0.2,2.0,8,3,1.0,0.4,0.0,0.4,0.0,0.2
5,22-02-2016,8,Santa Fe,betplay_dimayor,Gerardo Pelusso,0.8,1.3333333333333333,0.6,1.0,8,4,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,0.2
8,28-03-2016,15,Santa Fe,betplay_dimayor,Alexis García,1.4,1.0,1.0,0.0,8,3,1.0,0.4,0.0,0.4,0.0,0.2
9,12-03-2016,15,Santa Fe,betplay_dimayor,Gerardo Pelusso,1.6,0.5,1.0,2.0,10,0,0.0,0.6,0.0,0.2,1.0,0.2
11,02-04-2016,18,Santa Fe,betplay_dimayor,Alexis García,1.0,1.6,1.0,1.4,7,9,0.6,0.4,0.0,0.2,0.4,0.4
5,25-07-2016,9,Santa Fe,betplay_dimayor,Gustavo Costas,1.0,1.0,0.6,0.6,9,8,0.4,0.6,0.4,0.0,0.2,0.4
1,04-02-2018,0,Santa Fe,betplay_dimayor,Gregorio Pérez,0.6,1.6,0.4,1.0,7,6,0.4,0.2,0.0,0.8,0.6,0.0
15,15-04-2018,18,Santa Fe,betplay_dimayor,Agustín Julio,0.6,1.0,1.4,1.0,5,8,0.4,0.2,0.4,0.4,0.2,0.4
1,22-07-2018,1,Santa Fe,betplay_dimayor,Guillermo Sanguinetti,1.0,0.8,1.0,0.4,8,6,0.2,0.4,0.6,0.4,0.2,0.2
5,18-02-2019,3,Santa Fe,betplay_dimayor,Gerardo Bedoya,1.0,1.2,0.8,1.4,5,4,0.0,0.2,0.8,0.4,0.2,0.4
15,14-04-2019,10,Santa Fe,betplay_dimayor,Patricio Camps,0.4,1.2,1.0,1.2,3,5,0.2,0.0,0.4,0.6,0.4,0.4
5,11-08-2019,2,Santa Fe,betplay_dimayor,Harold Rivera,0.2,0.6,1.6,0.8,1,4,0.2,0.0,0.2,0.2,0.6,0.8
7,30-08-2021,5,Santa Fe,betplay_dimayor,Grigori Méndez,1.0,1.2,1.6,0.6,4,9,0.4,0.2,0.6,0.2,0.0,0.6
1,22-01-2022,1,Santa Fe,betplay_dimayor,Martín Cardetti,1.2,1.8,1.2,1.0,5,9,0.4,0.2,0.6,0.4,0.0,0.4
18,01-05-2022,25,Santa Fe,betplay_dimayor,Agustín Julio,0.6,2.3333333333333335,1.2,1.0,3,5,0.3333333333333333,0.2,0.6666666666666666,0.0,0.0,0.8
1,10-07-2022,1,Santa Fe,betplay_dimayor,Alfredo Arias,1.6,1.2,1.2,1.4,5,6,0.2,0.2,0.6,0.4,0.2,0.4
4,24-02-2013,3,Alianza Petrolera,betplay_dimayor,Guillermo Berrio,0.3333333333333333,1.0,2.3333333333333335,1.8,3,4,0.2,0.3333333333333333,0.2,0.0,0.6,0.6666666666666666
7,22-02-2014,2,Alianza Petrolera,betplay_dimayor,Adolfo Holguín,1.0,0.8,2.4,1.2,1,9,0.6,0.0,0.0,0.2,0.4,0.8
10,14-03-2015,12,Alianza Petrolera,betplay_dimayor,Oscar Upegui,0.4,1.4,0.8,1.2,4,7,0.2,0.0,0.8,0.8,0.0,0.2
13,16-04-2016,7,Alianza Petrolera,betplay_dimayor,Edgar Moreno,1.4,1.2,2.8,1.6,2,4,0.2,0.0,0.2,0.4,0.6,0.6
18,14-05-2016,14,Alianza Petrolera,betplay_dimayor,Jorge Bernal,1.2,1.8,1.6,1.6,4,8,0.4,0.2,0.4,0.2,0.2,0.6
1,06-02-2018,1,Alianza Petrolera,betplay_dimayor,Juan Real,0.6,1.0,1.4,1.2,4,7,0.4,0.2,0.2,0.2,0.4,0.6
1,28-01-2019,0,Alianza Petrolera,betplay_dimayor,César Torres,0.4,0.6,1.4,0.8,3,5,0.2,0.2,0.4,0.0,0.4,0.8
20,16-11-2020,19,Alianza Petrolera,betplay_dimayor,Dayron Montesino,1.2,0.8,1.8,2.8,2,1,0.0,0.0,0.2,0.4,0.8,0.6
11,10-03-2021,3,Alianza Petrolera,betplay_dimayor,Hubert Bodhert,0.4,0.4,2.8,1.8,2,1,0.0,0.0,0.2,0.4,0.8,0.6
1,08-02-2009,0,Atlético Nacional,betplay_dimayor,Luis Suárez,1.6,0.2,0.8,1.8,12,0,0.0,0.8,0.0,0.0,1.0,0.2
13,26-04-2009,7,Atlético Nacional,betplay_dimayor,Ramón Cabrero,1.0,1.2,1.6,1.0,3,8,0.4,0.0,0.4,0.6,0.2,0.4
1,06-02-2011,0,Atlético Nacional,betplay_dimayor,Santiago Escobar,1.2,2.0,1.2,1.2,8,8,0.4,0.4,0.4,0.4,0.2,0.2
15,05-05-2012,15,Atlético Nacional,betplay_dimayor,Juan Carlos Osorio,0.8,1.6,1.0,1.6,5,7,0.4,0.2,0.2,0.4,0.4,0.4
1,12-07-2015,3,Atlético Nacional,betplay_dimayor,Reinaldo Rueda,1.4,1.8,0.8,0.0,9,13,0.8,0.4,0.2,0.6,0.0,0.0
6,10-08-2017,10,Atlético Nacional,betplay_dimayor,Lillo,0.8,1.6,0.8,0.4,9,10,0.6,0.6,0.2,0.0,0.2,0.4
1,04-02-2018,3,Atlético Nacional,betplay_dimayor,Jorge Almirón,1.2,1.2,0.4,0.8,7,10,0.6,0.4,0.2,0.2,0.2,0.4
7,03-09-2018,12,Atlético Nacional,betplay_dimayor,Hernán Herrera,1.6,1.6,0.6,1.2,11,7,0.4,0.6,0.2,0.4,0.4,0.0
18,06-11-2018,29,Atlético Nacional,betplay_dimayor,Paulo Autuori,1.0,0.8,1.0,0.4,7,9,0.4,0.4,0.6,0.2,0.0,0.4
1,14-07-2019,3,Atlético Nacional,betplay_dimayor,Juan Carlos Osorio,1.8,1.4,1.4,0.6,9,9,0.4,0.6,0.6,0.0,0.0,0.4
18,09-11-2020,29,Atlético Nacional,betplay_dimayor,Alejandro Restrepo,1.6,1.8,2.2,0.6,5,12,0.8,0.2,0.0,0.4,0.2,0.4
10,07-03-2022,20,Atlético Nacional,betplay_dimayor,Hernán Herrera,1.0,2.4,0.8,1.0,10,13,0.8,0.6,0.2,0.2,0.0,0.2
1,08-02-2009,1,Envigado FC,betplay_dimayor,Óscar Aristizabal,1.0,1.6,1.0,1.4,7,6,0.2,0.4,0.6,0.2,0.2,0.4
16,01-11-2009,9,Envigado FC,betplay_dimayor,Ruben Bedoya,1.4,1.8,2.0,2.4,3,4,0.2,0.2,0.2,0.0,0.6,0.8
1,06-02-2011,3,Envigado FC,betplay_dimayor,Pedro Sarmiento,1.6,1.8,2.0,1.4,3,8,0.4,0.0,0.4,0.6,0.2,0.4
11,19-04-2013,11,Envigado FC,betplay_dimayor,Juan Sánchez,0.8,1.0,1.6,1.2,4,5,0.2,0.2,0.4,0.2,0.4,0.6
1,03-07-2016,1,Envigado FC,betplay_dimayor,Ismael Rescalvo,1.0,0.8,0.4,0.8,9,8,0.4,0.4,0.4,0.6,0.2,0.0
5,01-08-2017,2,Envigado FC,betplay_dimayor,Ruben Bedoya,0.6,1.0,2.2,1.2,1,7,0.4,0.0,0.2,0.2,0.4,0.8
6,25-08-2018,3,Envigado FC,betplay_dimayor,Juan Ramírez,0.6,1.2,1.4,2.2,2,4,0.2,0.0,0.2,0.4,0.6,0.6
1,28-01-2019,0,Envigado FC,betplay_dimayor,Eduardo Lara,1.2,0.6,1.2,1.0,7,5,0.2,0.4,0.4,0.2,0.4,0.4
13,29-09-2019,16,Envigado FC,betplay_dimayor,José Arastey,1.2,1.2,2.4,1.2,2,7,0.4,0.0,0.2,0.4,0.4,0.6
15,27-03-2021,13,Envigado FC,betplay_dimayor,Andrés Orozco,0.8,0.8,1.6,1.0,5,5,0.2,0.2,0.4,0.4,0.4,0.4
1,18-07-2021,1,Envigado FC,betplay_dimayor,Alberto Suárez,0.8,1.2,1.0,0.8,5,10,0.6,0.2,0.2,0.4,0.2,0.4
1,08-02-2009,0,Deportivo Pereira,betplay_dimayor,Pedro Sarmiento,1.4,1.2,0.8,0.8,7,7,0.4,0.4,0.2,0.2,0.4,0.4
1,12-07-2009,0,Deportivo Pereira,betplay_dimayor,Óscar Quintabani,1.6,1.0,0.8,0.8,10,5,0.2,0.6,0.4,0.2,0.4,0.2
14,16-10-2010,6,Deportivo Pereira,betplay_dimayor,Éinar Angulo,0.4,0.6,1.0,1.0,3,3,0.0,0.0,0.6,0.6,0.4,0.4
13,24-04-2011,7,Deportivo Pereira,betplay_dimayor,Julio Comesaña,1.0,1.4,1.4,2.4,4,2,0.0,0.2,0.4,0.2,0.6,0.6
5,15-09-2011,6,Deportivo Pereira,betplay_dimayor,Alfredo Jiménez,0.8,1.6,1.0,1.6,5,6,0.2,0.2,0.6,0.4,0.2,0.4
1,26-01-2020,0,Deportivo Pereira,betplay_dimayor,Néstor Craviotto,1.8,1.2,0.8,1.2,7,7,0.4,0.4,0.2,0.2,0.4,0.4
17,03-11-2020,17,Deportivo Pereira,betplay_dimayor,Alexis Márquez,0.8,0.25,1.0,1.25,4,1,0.0,0.2,0.25,0.2,0.75,0.6
1,21-01-2021,1,Deportivo Pereira,betplay_dimayor,Jorge Artigas,0.2,1.2,1.2,2.2,1,2,0.0,0.0,0.4,0.2,0.6,0.8
10,02-03-2021,6,Deportivo Pereira,betplay_dimayor,Alexis Márquez,0.6,0.4,1.8,0.8,1,5,0.2,0.0,0.4,0.2,0.4,0.8
1,08-07-2022,0,Deportivo Pereira,betplay_dimayor,Alejandro Restrepo,1.0,1.2,1.2,1.2,7,6,0.4,0.4,0.0,0.2,0.6,0.4
13,08-10-2012,10,Patriotas FC,betplay_dimayor,Eduardo Retat,0.8,0.8,1.4,1.0,6,8,0.4,0.4,0.4,0.0,0.2,0.6
1,02-02-2013,1,Patriotas FC,betplay_dimayor,Arturo Reyes,0.6,1.0,1.2,1.8,7,2,0.0,0.4,0.4,0.2,0.6,0.4
13,28-04-2013,9,Patriotas FC,betplay_dimayor,Juan Díaz,0.2,1.0,0.6,1.8,4,3,0.0,0.0,0.6,0.8,0.4,0.2
1,27-07-2013,1,Patriotas FC,betplay_dimayor,Julio Comesaña,0.8,1.4,2.0,1.2,2,8,0.4,0.0,0.4,0.4,0.2,0.6
14,04-04-2014,15,Patriotas FC,betplay_dimayor,Harold Rivera,1.4,1.2,2.0,2.0,7,4,0.2,0.4,0.2,0.2,0.6,0.4
1,05-02-2017,1,Patriotas FC,betplay_dimayor,Diego Corredor,0.8,1.2,1.0,1.2,6,8,0.4,0.4,0.4,0.0,0.2,0.6
15,06-10-2019,19,Patriotas FC,betplay_dimayor,Nelson Gómez,0.8,0.6,1.2,1.0,5,4,0.2,0.2,0.2,0.4,0.6,0.4
1,04-03-2021,0,Patriotas FC,betplay_dimayor,Abel Segovia,1.0,0.4,0.4,1.2,10,1,0.0,0.6,0.2,0.2,0.8,0.2
1,19-07-2021,0,Patriotas FC,betplay_dimayor,Jorge Bernal,1.0,0.6,2.4,1.6,7,4,0.2,0.4,0.2,0.2,0.6,0.4
1,23-01-2022,0,Patriotas FC,betplay_dimayor,Juan David Niño,1.4,1.2,0.8,2.0,7,3,0.2,0.4,0.0,0.2,0.8,0.4
6,12-02-2022,3,Patriotas FC,betplay_dimayor,Arturo Boyacá,1.2,0.4,2.0,0.8,3,3,0.0,0.2,0.6,0.0,0.4,0.8
1,23-07-2007,3,Millonarios,betplay_dimayor,Mario Vanemerak,1.6,1.2,0.6,1.6,12,4,0.2,0.8,0.2,0.0,0.6,0.2
1,20-07-2008,3,Millonarios,betplay_dimayor,Óscar Quintabani,1.2,2.2,1.2,1.4,7,12,0.8,0.4,0.0,0.2,0.2,0.4
15,02-05-2009,13,Millonarios,betplay_dimayor,Nilton Bernal,0.4,1.75,0.6,1.5,5,5,0.25,0.2,0.5,0.4,0.25,0.4
1,13-07-2009,3,Millonarios,betplay_dimayor,Luis García,1.4,1.2,1.4,1.0,5,8,0.4,0.2,0.4,0.4,0.2,0.4
1,06-02-2011,0,Millonarios,betplay_dimayor,Richard Páez,1.6,1.8,1.8,1.8,7,7,0.4,0.4,0.2,0.2,0.4,0.4
1,30-07-2012,3,Millonarios,betplay_dimayor,Hernán Torres,1.2,2.0,1.4,0.2,5,13,0.8,0.2,0.2,0.4,0.0,0.4
1,25-01-2014,3,Millonarios,betplay_dimayor,Lillo,1.6,1.2,1.2,1.0,10,7,0.4,0.6,0.2,0.2,0.4,0.2
8,06-09-2014,9,Millonarios,betplay_dimayor,Neys Nieto,0.6,0.0,1.8,1.0,3,0,0.0,0.0,0.0,0.6,1.0,0.4
9,14-09-2014,9,Millonarios,betplay_dimayor,Ricardo Lunari,0.4,2.0,1.8,1.6,2,7,0.4,0.0,0.2,0.4,0.4,0.6
6,08-10-2015,9,Millonarios,betplay_dimayor,Rubén Israel,0.8,1.0,1.0,0.0,6,3,1.0,0.2,0.0,0.6,0.0,0.2
7,20-08-2015,10,Millonarios,betplay_dimayor,Ricardo Lunari,1.0,1.0,1.0,1.5,8,1,0.0,0.4,0.5,0.4,0.5,0.2
